rank,entity,entity_type,emissions_MtCO2e_1854_2022,pct_global_CO2
1,China (Coal),nation_state,276458,14.01
2,Former Soviet Union,nation_state,135113,6.82
3,Saudi Aramco,state_owned,68832,3.63
4,Chevron,investor_owned,57898,2.98
5,ExxonMobil,investor_owned,55105,2.79
6,Gazprom,state_owned,50687,2.31
7,National Iranian Oil Co.,state_owned,43112,2.22
8,BP,investor_owned,42530,2.19
9,Shell,investor_owned,40674,2.06
10,Coal India,state_owned,29391,1.49
11,Poland,nation_state,28750,1.46
12,Pemex,state_owned,25497,1.32
13,Russian Federation,nation_state,23412,1.19
14,China (Cement),nation_state,23161,1.31
15,ConocoPhillips,investor_owned,20222,1.01
16,British Coal Corporation,investor_owned,19745,1.00
17,CNPC (PetroChina),state_owned,18951,0.97
18,Peabody Coal Group,investor_owned,17735,0.90
19,TotalEnergies,investor_owned,17584,0.90
20,Abu Dhabi National Oil Company,state_owned,17383,0.90
21,Petroleos de Venezuela,state_owned,16901,0.88
22,Kuwait Petroleum Corp.,state_owned,15922,0.84
23,Iraq National Oil Company,state_owned,15188,0.81
24,Sonatrach,state_owned,14955,0.735
25,Rosneft,state_owned,14295,0.75
26,Occidental Petroleum,investor_owned,12907,0.65
27,BHP,investor_owned,11042,0.56
28,Petrobras,state_owned,10799,0.56
29,CONSOL Energy,investor_owned,10490,0.53
30,Nigerian National Petroleum Corp.,state_owned,10243,0.53
31,Czechoslovakia,nation_state,9618,0.49
32,Petronas,state_owned,9130,0.45
33,Eni,investor_owned,9075,0.45
34,QatarEnergy,state_owned,8405,0.42
35,Pertamina,state_owned,8270,0.42
36,Anglo American,investor_owned,8163,0.41
37,Libya National Oil Corp.,state_owned,8146,0.43
38,Arch Resources,investor_owned,7969,0.40
39,Lukoil,investor_owned,7835,0.41
40,Kazakhstan,nation_state,7769,0.39
41,Equinor,investor_owned,7739,0.39
42,RWE,investor_owned,7585,0.38
43,Rio Tinto,investor_owned,6767,0.34
44,Glencore,investor_owned,6329,0.32
45,Alpha Metallurgical Resources,investor_owned,6127,0.31
46,ONGC India,state_owned,5917,0.30
47,Sasol,investor_owned,4992,0.25
48,Ukraine,nation_state,4969,0.25
49,Surgutneftegas,investor_owned,4735,0.25
50,Repsol,investor_owned,4584,0.23
51,Petroleum Development Oman,state_owned,4387,0.22
52,Sinopec,state_owned,4374,0.23
53,Egyptian General Petroleum,state_owned,4318,0.22
54,TurkmenGaz,state_owned,4223,0.19
55,Petoro,state_owned,4174,0.21
56,CNOOC,state_owned,4147,0.22
57,North Korea,nation_state,4104,0.21
58,Marathon Oil,investor_owned,3804,0.19
59,Bumi Resources,investor_owned,3762,0.19
60,Devon Energy,investor_owned,3297,0.16
61,Singareni Collieries,state_owned,3291,0.17
62,Sonangol,state_owned,3281,0.18
63,Holcim Group,investor_owned,3173,0.18
64,Novatek,investor_owned,3096,0.14
65,Ecopetrol,state_owned,3096,0.16
66,Suncor Energy,investor_owned,3072,0.16
67,Hess Corporation,investor_owned,3026,0.15
68,Ovintiv,investor_owned,2993,0.14
69,Czech Republic,nation_state,2737,0.14
70,Canadian Natural Resources,investor_owned,2640,0.13
71,Cyprus AMAX Minerals,investor_owned,2569,0.13
72,Westmoreland Mining,investor_owned,2339,0.12
73,BASF (Wintershall Dea),investor_owned,2313,0.11
74,American Consolidated Natural Resources,investor_owned,2240,0.11
75,Exxaro Resources Ltd,investor_owned,2160,0.11
76,Bapco Energies,state_owned,2127,0.10
77,Adaro Energy,investor_owned,2068,0.10
78,YPF,state_owned,2039,0.10
79,Cenovus Energy,investor_owned,1965,0.10
80,APA Corporation,investor_owned,1964,0.10
81,Banpu,investor_owned,1943,0.10
82,PetroEcuador,state_owned,1922,0.10
83,EOG Resources,investor_owned,1806,0.09
84,Alliance Resource Partners,investor_owned,1777,0.09
85,Kiewit Mining Group,investor_owned,1689,0.09
86,Heidelberg Materials,investor_owned,1684,0.09
87,North American Coal,investor_owned,1644,0.08
88,Chesapeake Energy,investor_owned,1609,0.07
89,Syrian Petroleum,state_owned,1578,0.08
90,Cloud Peak,investor_owned,1476,0.07
91,Vistra,investor_owned,1394,0.07
92,Teck Resources,investor_owned,1308,0.07
93,Inpex,investor_owned,1256,0.06
94,Naftogaz,state_owned,1252,0.06
95,Coterra Energy,investor_owned,1184,0.06
96,PTTEP,state_owned,1080,0.05
97,OMV Group,investor_owned,1014,0.05
98,EQT Corporation,investor_owned,1001,0.05
99,Southwestern Energy,investor_owned,982,0.04
100,Woodside Energy,investor_owned,918,0.04
101,UK Coal,investor_owned,882,0.04
102,Cemex,investor_owned,867,0.05
103,Santos,investor_owned,837,0.04
104,Pioneer Natural Resources,investor_owned,826,0.04
105,Murphy Oil,investor_owned,765,0.04
106,Orlen,state_owned,720,0.04
107,Antero,investor_owned,606,0.03
108,Taiheiyo Cement,investor_owned,580,0.03
109,Continental Resources,investor_owned,455,0.02
110,Tourmaline Oil,investor_owned,450,0.02
111,Whitehaven Coal,investor_owned,428,0.02
112,Navajo Transitional Energy Company,investor_owned,390,0.02
113,Wolverine Fuels,investor_owned,385,0.02
114,Seriti Resources,investor_owned,361,0.02
115,Obsidian Energy,investor_owned,356,0.02
116,Vale,investor_owned,317,0.02
117,SM Energy,investor_owned,316,0.02
118,Adani Enterprises,investor_owned,316,0.02
119,CNX Resources,investor_owned,227,0.01
120,CRH,investor_owned,217,0.01
121,Tullow Oil,investor_owned,211,0.01
122,Slovakia,nation_state,104,0.01
